Layer id,i_bw,o_bw
0000,0.7293,0.8946
0001,0.8160,1.2102
0002,1.2102,1.1134
0003,1.1134,1.2262
0004,0.8160,1.2262
0005,1.2262,1.5016
0006,1.5016,1.4264
0007,1.4264,1.0396
0008,1.0396,1.5210
0009,1.5210,1.7725
0010,1.7725,0.9577
0011,0.9577,1.9226
0012,1.9226,1.3571
0013,1.3571,1.5385
0014,0.9577,1.5385
0015,1.5385,1.2049
0016,1.2049,1.3198
0017,1.3198,1.2386
0018,1.2386,1.4048
0019,1.4048,1.4185
0020,1.4185,1.3530
0021,1.3530,1.6447
0022,1.6447,1.9403
0023,1.9403,1.3608
0024,1.3608,2.5925
0025,2.5925,1.2747
0026,1.2747,1.7360
0027,1.3608,1.7360
0028,1.7360,1.5916
0029,1.5916,1.8173
0030,1.8173,1.5592
0031,1.5592,1.9065
0032,1.9065,1.9831
0033,1.9831,1.6514
0034,1.6514,2.2781
0035,2.2781,2.0195
0036,2.0195,1.7581
0037,1.7581,2.3925
0038,2.3925,2.2582
0039,2.2582,2.0915
0040,2.0915,2.6828
0041,2.6828,2.2272
0042,2.2272,2.5376
0043,2.5376,3.8192
0044,3.8192,2.1874
0045,2.1874,1.9252
0046,2.5376,1.9252
0047,1.9252,3.0672
0048,3.0672,2.6210
0049,2.6210,1.4771
0050,1.4771,3.8197
0051,3.8197,2.0969
0052,2.0969,1.3538
0053,1.3538,0.7343